County,2020 Median,2021 Median,2022 Median,2023 Median,Median Home Price (2023)
"Marengo County, Alabama",157000,163450,180000,190000,190000
"Marion County, Alabama",145000,158350,180000,190000,190000
"Marshall County, Alabama",148450,166560,199900,225500,225500
"Mobile County, Alabama",148000,160000,180000,203000,203000
"Monroe County, Alabama",145000,158350,180000,190000,190000
"Montgomery County, Alabama",150000,165000,180000,196000,196000
"Morgan County, Alabama",149900,162000,180000,210000,210000
"Perry County, Alabama",145000,158350,180000,190000,190000
"Pickens County, Alabama",145000,158350,180000,190000,190000
"Pike County, Alabama",159000,162500,180000,190000,190000
"Randolph County, Alabama",159000,165000,189750,205000,205000
"Russell County, Alabama",147500,158350,180000,190000,190000
"St. Clair County, Alabama",190000,205400,230000,255000,255000
"Shelby County, Alabama",198885,212550,239797,272500,272500
"Sumter County, Alabama",145000,158350,180000,190000,190000
"Talladega County, Alabama",149000,158350,180000,190000,190000
"Tallapoosa County, Alabama",204000,204000,252600,259000,259000
"Tuscaloosa County, Alabama",176000,189900,215000,230000,230000
"Walker County, Alabama",145000,158350,180000,190000,190000
"Washington County, Alabama",145000,158350,180000,190000,190000
"Wilcox County, Alabama",173250,161000,180000,190000,190000
"Winston County, Alabama",216500,215000,260000,268000,268000
"Apache County, Arizona",164900,178900,203000,219500,219500
"Cochise County, Arizona",164900,178900,203000,225000,225000
"Coconino County, Arizona",323950,350000,400000,485000,485000
"Gila County, Arizona",210000,230000,285000,350000,350000
"Graham County, Arizona",164900,178900,203000,234900,234900
"Greenlee County, Arizona",164900,178900,203000,219500,219500
"La Paz County, Arizona",164900,178900,203000,219500,219500
"Maricopa County, Arizona",249500,271566,312000,390000,390000
"Mohave County, Arizona",225000,250000,299900,338587.5,338587.5
"Navajo County, Arizona",184500,205000,255000,310000,310000
"Pima County, Arizona",188000,208911.7656,240000,288000,288000
"Pinal County, Arizona",242000,265000,304000,380000,380000
"Santa Cruz County, Arizona",164900,178900,203000,240000,240000
"Yavapai County, Arizona",256850,280000,330000,385900,385900
"Yuma County, Arizona",165000,180000,210000,255000,255000
"Arkansas County, Arkansas",139900,149925,166000,175000,175000
"Ashley County, Arkansas",139900,149925,166000,175000,175000
"Baxter County, Arkansas",139900,151000,166000,185000,185000
"Benton County, Arkansas",180000,198000,223000,269755.5,269755.5
"Boone County, Arkansas",140000,149925,166000,185000,185000
"Bradley County, Arkansas",139900,149925,166000,175000,175000
"Calhoun County, Arkansas",139900,149925,166000,175000,175000
"Carroll County, Arkansas",148250,149925,166000,180000,180000
"Chicot County, Arkansas",139900,150000,166000,175000,175000
"Clark County, Arkansas",139900,149925,166000,175000,175000
"Clay County, Arkansas",139900,149925,166000,175000,175000
"Cleburne County, Arkansas",160000,169000,195000,216500,216500
"Cleveland County, Arkansas",139900,149925,166000,175000,175000
"Columbia County, Arkansas",160000,160000,175000,182162.5,182162.5
"Conway County, Arkansas",139900,149925,166000,175000,175000
"Craighead County, Arkansas",160000,170000,186700,208600,208600
"Crawford County, Arkansas",147000,149925,166000,186000,186000
"Crittenden County, Arkansas",178000,198710,225000,260000,260000
"Cross County, Arkansas",139900,149925,166000,175000,175000
"Dallas County, Arkansas",139900,149925,166000,175000,175000
"Desha County, Arkansas",139900,149925,166000,175000,175000
"Drew County, Arkansas",160000,158000,169000,175000,175000
"Faulkner County, Arkansas",165000,185000,199000,225000,225000
"Franklin County, Arkansas",139900,149925,166000,175000,175000
"Fulton County, Arkansas",139900,149925,166000,175000,175000
"Garland County, Arkansas",155000,169000,205000,207000,207000
"Grant County, Arkansas",158100,156000,168750,185000,185000
"Greene County, Arkansas",139900,150000,166450,185000,185000
"Hempstead County, Arkansas",139900,149925,166000,175000,175000
"Hot Spring County, Arkansas",139900,149925,166000,175000,175000
"Howard County, Arkansas",139900,149925,166000,175000,175000
"Independence County, Arkansas",140000,149925,166000,175000,175000
"Izard County, Arkansas",139900,149925,166000,175000,175000
"Jackson County, Arkansas",139900,149925,166000,175000,175000
"Jefferson County, Arkansas",139900,149925,166000,175000,175000
"Johnson County, Arkansas",139900,149925,166000,175000,175000
"Lafayette County, Arkansas",139900,149925,166000,175000,175000
"Lawrence County, Arkansas",139900,149925,166000,175000,175000
"Lee County, Arkansas",139900,149925,166000,175000,175000
"Lincoln County, Arkansas",139900,149925,166000,175000,175000
"Little River County, Arkansas",139900,149925,166000,175000,175000
"Logan County, Arkansas",139900,149925,166000,175000,175000
"Lonoke County, Arkansas",159000,168000,184000,202000,202000
"Madison County, Arkansas",180000,195000,220947,265000,265000
"Marion County, Arkansas",139900,149925,166000,175000,175000
"Miller County, Arkansas",159700,171250,198000,211500,211500
"Mississippi County, Arkansas",139900,149925,166000,175000,175000
"Monroe County, Arkansas",139900,149925,166000,175000,175000
"Montgomery County, Arkansas",149700,165000,166000,175000,175000
"Nevada County, Arkansas",139900,149925,166000,175000,175000
"Newton County, Arkansas",139900,149925,166000,175000,175000
"Ouachita County, Arkansas",139900,149925,166000,175000,175000
"Perry County, Arkansas",159000,168000,184000,202000,202000
"Phillips County, Arkansas",139900,149925,166000,175000,175000
"Pike County, Arkansas",139900,149925,166000,175000,175000
"Poinsett County, Arkansas",139900,149925,166000,175000,175000
"Polk County, Arkansas",139900,149925,166000,175000,175000
"Pope County, Arkansas",152450,155850,179900,194700,194700
"Prairie County, Arkansas",139900,149925,166000,175000,175000
"Pulaski County, Arkansas",159000,168000,184000,202000,202000
"Randolph County, Arkansas",139900,149925,166000,175000,175000
"St. Francis County, Arkansas",139900,149925,166000,175000,175000
"Saline County, Arkansas",164235,172000,190450,218000,218000
"Scott County, Arkansas",139900,149925,166000,175000,175000
"Searcy County, Arkansas",139900,149925,166000,175000,175000
"Sebastian County, Arkansas",139900,149925,166000,186000,186000
"Sevier County, Arkansas",149450,149925,166000,175000,175000
"Sharp County, Arkansas",139900,149925,166000,175000,175000
"Stone County, Arkansas",139900,149925,166000,175000,175000
"Union County, Arkansas",165000,168000,178500,183000,183000
"Van Buren County, Arkansas",139900,149925,166000,175000,175000
"Washington County, Arkansas",184635,195000,220947,265000,265000
"White County, Arkansas",150000,151000,166000,180000,180000
"Woodruff County, Arkansas",139900,149925,166000,175000,175000
"Yell County, Arkansas",139900,149925,166000,175000,175000
"Alameda County, California",610000,646000,693000,775000,775000
"Alpine County, California",353750,370000,380791.125,422500,422500
"Amador County, California",325000,329000,359000,422500,422500
"Butte County, California",317600,330000,380000,419000,419000
"Calaveras County, California",314950,325000,365000,420000,420000
"Colusa County, California",235000,257750,288000,315000,315000
"Contra Costa County, California",540000,565000,627500,713462.5,713462.5
"Del Norte County, California",220000,235000,253000,279900,279900
"El Dorado County, California",420000,440000,500000,567307.6875,567307.6875
"Fresno County, California",279000,297000,330000,383000,383000
"Glenn County, California",220000,233533,250000,275000,275000
"Humboldt County, California",310000,323000,360500,415250,415250
"Imperial County, California",245000,261990,284900,316090,316090
"Inyo County, California",305000,319500,350000,375000,375000
"Kern County, California",240000,255000,285000,335000,335000
"Kings County, California",240000,256500,285000,325000,325000
"Lake County, California",239000,243250,295000,309500,309500
"Lassen County, California",197000,205000,220000,240000,240000
"Los Angeles County, California",505000,536500,600000,680000,680000
"Madera County, California",263000,285500,321000,377219.5,377219.5
"Marin County, California",660000,699000,740000,865000,865000
"Mariposa County, California",262250,275000,307000,330000,330000
"Mendocino County, California",370000,382000,442200,475000,475000
"Merced County, California",285000,298969,337945,395000,395000
"Modoc County, California",164900,178900,203000,219500,219500
"Mono County, California",449500,470000,499000,525000,525000
"Monterey County, California",468500,505788,575000,650000,650000
"Napa County, California",550000,599000,650000,720000,720000
"Nevada County, California",399000,425000,497855,529500,529500
"Orange County, California",600000,627400,695000,805000,805000
"Placer County, California",465000,489000,540000,630000,630000
"Plumas County, California",231875,247000,289250,310000,310000
"Riverside County, California",353511,375000,430000,501000,501000
"Sacramento County, California",380000,407329,465000,540000,540000
"San Benito County, California",558115,581682.5,634929,775000,775000
"San Bernardino County, California",336000,360000,410000,477000,477000
"San Diego County, California",510000,545000,620000,712000,712000
"San Francisco County, California",660000,699000,750000,865000,865000
"San Joaquin County, California",375000,395975,450000,510000,510000
"San Luis Obispo County, California",523000,545000,615000,679000,679000
"San Mateo County, California",660000,699000,740000,875000,875000
"Santa Barbara County, California",386000,409500,465000,535000,535000
"Santa Clara County, California",655000,700000,750000,852000,852000
"Santa Cruz County, California",571700,600000,665000,760000,760000
"Shasta County, California",274300,290000,326000,369000,369000
"Sierra County, California",236000,256000,271500,298717.9375,298717.9375
"Siskiyou County, California",209000,221000,256000,290000,290000
"Solano County, California",425000,450000,500000,572000,572000
"Sonoma County, California",556500,581000,629925,681625,681625
"Stanislaus County, California",314900,335000,380000,440000,440000
"Sutter County, California",304000,324825,362000,425000,425000
"Tehama County, California",234900,250000,300000,327000,327000
"Trinity County, California",240000,240000,255000,265000,265000
"Tulare County, California",240000,255989,287690,333377.5,333377.5
"Tuolumne County, California",280000,287500,337500,365155,365155
"Ventura County, California",555000,575000,647500,739000,739000
"Yolo County, California",415000,445000,499999,553559.5,553559.5
"Yuba County, California",299000,320000,360000,430000,430000
"Adams County, Colorado",380000,402500,445000,525000,525000
"Alamosa County, Colorado",187000,195000,215600,241000,241000
"Arapahoe County, Colorado",380000,402500,445000,525000,525000
"Archuleta County, Colorado",242000,255000,285000,325000,325000
"Baca County, Colorado",164900,178900,203000,219500,219500
"Bent County, Colorado",164900,178900,203000,219500,219500
"Boulder County, Colorado",433084,450000,515000,569195,569195
"Broomfield County, Colorado",392250,423925,450000,525000,525000
"Chaffee County, Colorado",345750,385000,437066.6563,502000,502000
"Cheyenne County, Colorado",164900,178900,203000,219500,219500
"Clear Creek County, Colorado",380000,402500,445000,525000,525000
"Conejos County, Colorado",164900,178900,203000,219500,219500
"Costilla County, Colorado",164900,178900,203000,219500,219500
"Crowley County, Colorado",164900,178900,203000,219500,219500
"Custer County, Colorado",205000,225000,270000,296500,296500
"Delta County, Colorado",215000,228852,259900,299450,299450
"Denver County, Colorado",405000,439000,492000,555000,555000
"Dolores County, Colorado",192500,225000,257500,270000,270000
"Douglas County, Colorado",422145,440000,480150,585000,585000
"Eagle County, Colorado",395000,410000,437500,480000,480000
"Elbert County, Colorado",433950,452000,490000,570000,570000
"El Paso County, Colorado",280000,306999,350164.5,415000,415000
"Fremont County, Colorado",195000,225000,270000,291250,291250
"Garfield County, Colorado",316000,325000,382000,403500,403500
"Gilpin County, Colorado",380000,402500,445000,525000,525000
"Grand County, Colorado",279500,300000,337950,385000,385000
"Gunnison County, Colorado",299000,315000,354000,398188.5,398188.5
"Hinsdale County, Colorado",267123.2813,284500,323287.6563,341250,341250
"Huerfano County, Colorado",165000,178900,203000,219500,219500
"Jackson County, Colorado",164900,178900,203000,219500,219500
"Jefferson County, Colorado",414000,435000,495000,580000,580000
"Kiowa County, Colorado",164900,178900,203000,219500,219500
"Kit Carson County, Colorado",164900,178900,203000,219500,219500
"Lake County, Colorado",241000,259000,292850,325000,325000
"La Plata County, Colorado",365000,375000,400000,460000,460000
"Larimer County, Colorado",365000,375000,415000,485000,485000
"Las Animas County, Colorado",164900,178900,203000,219500,219500
"Lincoln County, Colorado",164900,178900,203000,219500,219500
"Logan County, Colorado",164900,178900,203000,219500,219500
"Mesa County, Colorado",219000,242000,273500,315000,315000
"Mineral County, Colorado",228529.4063,249000,265750,297777.7813,297777.7813
"Moffat County, Colorado",187100,190000,203000,225450,225450
"Montezuma County, Colorado",206000,226500,242000,273000,273000
"Montrose County, Colorado",220000,236000,265000,317777.7813,317777.7813
"Morgan County, Colorado",225550,240000,260000,291000,291000
"Otero County, Colorado",164900,178900,203000,219500,219500
"Ouray County, Colorado",339950,360000,406250,479750,479750
"Park County, Colorado",380000,402500,445000,525000,525000
"Phillips County, Colorado",165000,178900,203000,219500,219500
"Pitkin County, Colorado",445000,500000,536500,585000,585000
"Prowers County, Colorado",164900,178900,203000,219500,219500
"Pueblo County, Colorado",188375,213804,250000,289900,289900
"Rio Blanco County, Colorado",177000,180000,203000,219500,219500
"Rio Grande County, Colorado",167500,178900,203000,219500,219500
"Routt County, Colorado",375000,383000,400000,436000,436000
"Saguache County, Colorado",164900,178900,203000,219500,219500
"San Juan County, Colorado",244805.1875,249000,295000,323079.5,323079.5
"San Miguel County, Colorado",234750,262250,278250,315177.5,315177.5
"Sedgwick County, Colorado",164900,178900,203000,219500,219500
"Summit County, Colorado",519000,547500,600000,663000,663000
"Teller County, Colorado",304250,325000,369900,425000,425000
"Washington County, Colorado",164900,178900,203000,219500,219500
"Weld County, Colorado",320000,340000,365000,425498,425498
"Yuma County, Colorado",164900,178900,203000,219500,219500
"Fairfield County, Connecticut",350000,375000,437000,459000,459000
"Hartford County, Connecticut",224900,234000,265000,285000,285000
"Litchfield County, Connecticut",225000,240000,275000,280000,280000
"Middlesex County, Connecticut",260000,273000,310000,327000,327000
"New Haven County, Connecticut",230000,243000,271000,300000,300000
"New London County, Connecticut",221250,234950,268000,291000,291000
"Tolland County, Connecticut",230000,244950,278400,296500,296500
"Windham County, Connecticut",202000,225000,250000,276000,276000
"Kent County, Delaware",207742.5,220000,245000,277245,277245
"New Castle County, Delaware",232000,249900,280000,305000,305000
"Sussex County, Delaware",220000,245337.5,283846.1563,300000,300000
"Alachua County, Florida",190000,206995,227899,254500,254500
"Baker County, Florida",174900,180000,203000,220500,220500
"Bay County, Florida",206000,215000,235000,275000,275000
"Bradford County, Florida",164900,178900,203000,219500,219500
"Brevard County, Florida",195000,210000,237000,283000,283000
"Broward County, Florida",290000,310000,348000,392000,392000
"Calhoun County, Florida",164900,178900,203000,219500,219500
"Charlotte County, Florida",199894,217900,247995,300000,300000
"Citrus County, Florida",164900,178900,203000,225000,225000
"Clay County, Florida",203000,220000,240000,289000,289000
"Collier County, Florida",300000,312000,350000,429450,429450
"Columbia County, Florida",164900,178900,203000,219500,219500
"DeSoto County, Florida",164900,178900,203000,219500,219500
"Dixie County, Florida",164900,178900,203000,219500,219500
"Duval County, Florida",203000,220000,240000,280000,280000
"Escambia County, Florida",175000,190000,224155,254608.5,254608.5
"Flagler County, Florida",220000,229800,254900,317500,317500
"Franklin County, Florida",246750,254000,300000,325000,325000
"Gadsden County, Florida",174000,184000,205000,221450,221450
"Gilchrist County, Florida",188000,206500,227000,252500,252500
"Glades County, Florida",164900,178900,203000,219500,219500
"Gulf County, Florida",200000,195500,230440,266000,266000
"Hamilton County, Florida",164900,178900,203000,219500,219500
"Hardee County, Florida",164900,178900,203000,219500,219500
"Hendry County, Florida",164900,178900,203000,219500,219500
"Hernando County, Florida",210000,229000,256000,312000,312000
"Highlands County, Florida",164900,178900,203000,225000,225000
"Hillsborough County, Florida",215000,231000,260000,323095,323095
"Holmes County, Florida",164900,178900,203000,219500,219500
"Indian River County, Florida",198000,215000,238500,279900,279900
"Jackson County, Florida",164900,178900,203000,219500,219500
"Jefferson County, Florida",174000,184000,205000,221450,221450
"Lafayette County, Florida",164900,178900,203000,219500,219500
"Lake County, Florida",232999.5,250000,272000,319990,319990
"Lee County, Florida",215150,225000,258000,324900,324900
"Leon County, Florida",175000,188000,207000,222000,222000
"Levy County, Florida",164900,178900,203000,219500,219500
"Liberty County, Florida",164900,178900,203000,219500,219500
"Madison County, Florida",164900,178900,203000,219500,219500
"Manatee County, Florida",238500,250000,275000,335000,335000
"Marion County, Florida",164900,178900,203000,233000,233000
"Martin County, Florida",262000,280000,316500,364000,364000
"Miami-Dade County, Florida",315000,334500,370000,415000,415000
"Monroe County, Florida",450000,475750,550000,590000,590000
"Nassau County, Florida",229534.5,248950,285000,305000,305000
"Okaloosa County, Florida",197250,210000,245000,285000,285000
"Okeechobee County, Florida",164900,178900,203000,219500,219500
"Orange County, Florida",235000,255000,282500,322000,322000
"Osceola County, Florida",232999.5,250000,272000,320000,320000
"Palm Beach County, Florida",279000,295000,325000,378325,378325
"Pasco County, Florida",210000,229000,256000,312000,312000
"Pinellas County, Florida",235300,257000,293000,360000,360000
"Polk County, Florida",192000,210000,232000,270871,270871
"Putnam County, Florida",164900,178900,203000,219500,219500
"St. Johns County, Florida",271593.5,288000,317806.875,380000,380000
"St. Lucie County, Florida",225000,239900,264900,330000,330000
"Santa Rosa County, Florida",200000,220000,249950,294500,294500
"Sarasota County, Florida",225000,241995,269550,335000,335000
"Seminole County, Florida",240000,254000,279000,330000,330000
"Sumter County, Florida",270000,285000,302056.5,365000,365000
"Suwannee County, Florida",164900,178900,203000,219500,219500
"Taylor County, Florida",164900,178900,203000,219500,219500
"Union County, Florida",164900,178900,203000,219500,219500
"Volusia County, Florida",187000,205000,232999,275000,275000
"Wakulla County, Florida",164900,178900,206250,219500,219500
"Walton County, Florida",241310,260000,323750,325889.5,325889.5
"Washington County, Florida",164900,178900,203000,219500,219500
"Appling County, Georgia",164900,178900,203000,219500,219500
"Atkinson County, Georgia",164900,178900,203000,219500,219500
"Bacon County, Georgia",164900,178900,203000,219500,219500
"Baker County, Georgia",164900,178900,203000,219500,219500
"Baldwin County, Georgia",164900,178950,203000,219500,219500
"Banks County, Georgia",170000,182000,203000,230000,230000
"Barrow County, Georgia",210000,230000,260000,320000,320000
"Bartow County, Georgia",210000,230000,260000,320000,320000
"Ben Hill County, Georgia",164900,178900,203000,219500,219500
"Berrien County, Georgia",164900,178900,203000,219500,219500
"Bibb County, Georgia",164900,178900,203000,219500,219500
"Bleckley County, Georgia",164900,178900,203000,219500,219500
"Brantley County, Georgia",170000,197500,215725,234450,234450
"Brooks County, Georgia",164900,178900,203000,219500,219500
"Bryan County, Georgia",199000,201052.5,229900,253000,253000
"Bulloch County, Georgia",164900,178900,203000,219500,219500
"Burke County, Georgia",164900,178900,203000,219500,219500
"Butts County, Georgia",164900,178900,209990,233000,233000
"Calhoun County, Georgia",164900,178900,203000,219500,219500
"Camden County, Georgia",164900,178900,203000,219500,219500
"Candler County, Georgia",164900,178900,203000,219500,219500
"Carroll County, Georgia",210000,230000,260000,320000,320000
"Catoosa County, Georgia",186000,205000,235000,270000,270000
"Charlton County, Georgia",164900,178900,203000,219500,219500
"Chatham County, Georgia",193500,205000,230000,255000,255000
"Chattahoochee County, Georgia",164900,178900,203000,219500,219500
"Chattooga County, Georgia",164900,178900,203000,219500,219500
"Cherokee County, Georgia",235650,258000,289900,350000,350000
"Clarke County, Georgia",190000,212900,234950,274000,274000
"Clay County, Georgia",175000,178900,203000,219500,219500
"Clayton County, Georgia",210000,230000,260000,320000,320000
"Clinch County, Georgia",164900,178900,203000,219500,219500
"Cobb County, Georgia",235000,257400,292500,347500,347500
"Coffee County, Georgia",164900,178900,203000,219500,219500
"Colquitt County, Georgia",164900,178900,203000,219500,219500
"Columbia County, Georgia",179250,186500,208000,235000,235000
"Cook County, Georgia",164900,178900,203000,219500,219500
"Coweta County, Georgia",214450,239000,269900,320000,320000
"Crawford County, Georgia",164900,178900,203000,219500,219500
"Crisp County, Georgia",164900,178900,203000,219500,219500
"Dade County, Georgia",186000,205000,235000,270000,270000
"Dawson County, Georgia",218495,244960,267635,320000,320000
"Decatur County, Georgia",164900,178900,203000,219500,219500
"DeKalb County, Georgia",226600,253600,305000,360000,360000
"Dodge County, Georgia",164900,178900,203000,219500,219500
"Dooly County, Georgia",164900,178900,203000,219500,219500
"Dougherty County, Georgia",164900,178900,203000,219500,219500
"Douglas County, Georgia",210000,230000,260000,320000,320000
"Early County, Georgia",164900,178900,203000,219500,219500
"Echols County, Georgia",164900,178900,203000,219500,219500
"Effingham County, Georgia",189990,200102.5,227000,253000,253000
"Elbert County, Georgia",164900,178900,203000,219500,219500
"Emanuel County, Georgia",164900,178900,203000,219500,219500
"Evans County, Georgia",164900,178900,203000,219500,219500
"Fannin County, Georgia",247500,257500,325000,395570.1875,395570.1875
"Fayette County, Georgia",264450,283000,326000,366592,366592
"Floyd County, Georgia",164900,178900,203000,219500,219500
"Forsyth County, Georgia",290000,296200,330000,385000,385000
"Franklin County, Georgia",164900,178900,203000,219500,219500
"Fulton County, Georgia",234900,250000,286000,350000,350000
"Gilmer County, Georgia",189000,199900,251000,304400,304400
"Glascock County, Georgia",164900,178900,203000,219500,219500
"Glynn County, Georgia",181950,199000,224000,240000,240000
"Gordon County, Georgia",164900,178900,203000,225000,225000
"Grady County, Georgia",164900,178900,203000,219500,219500
"Greene County, Georgia",244000,247000,285500,282608.6875,282608.6875
"Gwinnett County, Georgia",222000,239000,270000,340000,340000
"Habersham County, Georgia",165000,178900,203000,239950,239950
"Hall County, Georgia",198000,218000,250000,293275,293275
"Hancock County, Georgia",220000,235000,250000,273769.25,273769.25
"Haralson County, Georgia",164900,178900,203000,230000,230000
"Harris County, Georgia",216250,234200,257500,279950,279950
"Hart County, Georgia",194800,206000,239000,275000,275000
"Heard County, Georgia",210000,230000,260000,320000,320000
"Henry County, Georgia",210000,230000,260000,320000,320000
"Houston County, Georgia",164900,178900,203000,219500,219500
"Irwin County, Georgia",164900,178900,203000,219500,219500
"Jackson County, Georgia",214900,234000,262900,311435,311435
"Jasper County, Georgia",210000,230000,260000,320000,320000
"Jeff Davis County, Georgia",164900,178900,203000,219500,219500
"Jefferson County, Georgia",164900,178900,203000,219500,219500
"Jenkins County, Georgia",164900,178900,203000,219500,219500
"Johnson County, Georgia",164900,178900,203000,219500,219500
"Jones County, Georgia",164900,178900,203000,219500,219500
"Lamar County, Georgia",164900,178900,203000,219500,219500
"Lanier County, Georgia",164900,178900,203000,219500,219500
"Laurens County, Georgia",164900,178900,203000,219500,219500
"Lee County, Georgia",164900,178900,203000,219500,219500
"Liberty County, Georgia",164900,178900,203000,219500,219500
"Lincoln County, Georgia",164900,178900,203000,219500,219500
"Long County, Georgia",164900,178900,203000,219500,219500
"Lowndes County, Georgia",164900,178900,203000,219500,219500
"Lumpkin County, Georgia",188340,205000,233625,270000,270000
"McDuffie County, Georgia",164900,178900,203000,219500,219500
"McIntosh County, Georgia",170000,197500,215725,234450,234450
"Macon County, Georgia",164900,178900,203000,219500,219500
"Madison County, Georgia",190000,212900,234950,274000,274000
"Marion County, Georgia",164900,178900,203000,219500,219500
"Meriwether County, Georgia",164900,178900,203000,219500,219500
"Miller County, Georgia",164900,178900,203000,219500,219500
"Mitchell County, Georgia",164900,178900,203000,219500,219500
"Monroe County, Georgia",180000,198000,239900,264450,264450
"Montgomery County, Georgia",164900,178900,203000,219500,219500
"Morgan County, Georgia",225000,245000,270500,286000,286000
"Murray County, Georgia",164900,178900,203000,219500,219500
"Muscogee County, Georgia",164900,178900,203000,219500,219500
"Newton County, Georgia",210000,230000,260000,320000,320000
"Oconee County, Georgia",251427,277500,308400,348950,348950
"Oglethorpe County, Georgia",190000,212900,234950,274000,274000
"Paulding County, Georgia",210000,230000,260000,320000,320000
"Peach County, Georgia",164900,178900,203000,219500,219500
"Pickens County, Georgia",210000,230000,260000,320000,320000
"Pierce County, Georgia",164900,178900,203000,219500,219500
"Pike County, Georgia",210000,230000,260000,320000,320000
"Polk County, Georgia",164900,178900,203000,219500,219500
"Pulaski County, Georgia",164900,178900,203000,219500,219500
"Putnam County, Georgia",215000,237481.3438,275000,306125,306125
"Quitman County, Georgia",164900,178900,203000,219500,219500
"Rabun County, Georgia",169950,178900,207500,273000,273000
"Randolph County, Georgia",164900,178900,203000,219500,219500
"Richmond County, Georgia",164900,178900,203000,219500,219500
"Rockdale County, Georgia",210000,230000,260000,320000,320000
"Schley County, Georgia",164900,178900,203000,219500,219500
"Screven County, Georgia",164900,178900,203000,219500,219500
"Seminole County, Georgia",164900,178900,203000,219500,219500
"Spalding County, Georgia",210000,230000,260000,320000,320000
"Stephens County, Georgia",164900,178900,203000,219500,219500
"Stewart County, Georgia",164900,178900,203000,219500,219500
"Sumter County, Georgia",164900,178900,203000,219500,219500
"Talbot County, Georgia",164900,178900,203000,219500,219500
"Taliaferro County, Georgia",164900,178900,203000,219500,219500
"Tattnall County, Georgia",164900,178900,203000,219500,219500
"Taylor County, Georgia",164900,178900,203000,219500,219500
"Telfair County, Georgia",164900,178900,203000,219500,219500
"Terrell County, Georgia",164900,178900,203000,219500,219500
"Thomas County, Georgia",165000,178900,203000,219500,219500
"Tift County, Georgia",164900,178900,203000,219500,219500
"Toombs County, Georgia",164900,178900,203000,219500,219500
"Towns County, Georgia",181650,188250,250000,287000,287000
"Treutlen County, Georgia",164900,178900,203000,219500,219500
"Troup County, Georgia",164900,178900,203000,219500,219500
"Turner County, Georgia",164900,178900,203000,219500,219500
"Twiggs County, Georgia",164900,178900,203000,219500,219500
"Union County, Georgia",199700,219850,258000,300000,300000
"Upson County, Georgia",164900,178900,203000,219500,219500
"Walker County, Georgia",186000,205000,235000,270000,270000
"Walton County, Georgia",212000,239949.5,270000,330000,330000
"Ware County, Georgia",164900,178900,203000,219500,219500
"Warren County, Georgia",164900,178900,203000,219500,219500
"Washington County, Georgia",164900,178900,203000,219500,219500
"Wayne County, Georgia",164900,178900,203000,219500,219500
"Webster County, Georgia",164900,178900,203000,219500,219500
"Wheeler County, Georgia",164900,178900,203000,219500,219500
"White County, Georgia",170000,185000,205000,262000,262000
"Whitfield County, Georgia",164900,178900,203000,219500,219500
"Wilcox County, Georgia",164900,178900,203000,219500,219500
"Wilkes County, Georgia",164900,178900,203000,219500,219500
"Wilkinson County, Georgia",164900,178900,203000,219500,219500
"Worth County, Georgia",164900,178900,203000,219500,219500
"Hawaii County, Hawaii",358000,375000,398000,450000,450000
"Honolulu County, Hawaii",601950,636365,665000,760000,760000
